EQUIP_ID,YEAR,MAKE,MODEL,COLOR,DESCRIPTION,AUCTION HOUSE,COMMENTS
05547,2000,FREIGHTLINER,FL60,WHITE,TRUCK - ASPHALT FLATBED - CLASS 7,BIDADOO ONLINE AUCTION,
45807,2004,GMC,WT5500,WHITE,TRUCK - BOOK DELIVERY - CLASS 5,BIDADOO ONLINE AUCTION,
89156,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR - LICENSE RECOG SYSTEM,BIDADOO ONLINE AUCTION,
33705,2003,FORD,F250,WHITE,PICKUP,BIDADOO ONLINE AUCTION,
53892,2005,CHEVROLET,EXPRESS,GREEN,PASSENGER VAN,BIDADOO ONLINE AUCTION,
53535,2005,CHEVROLET,ASTRO,WHITE,CARGO MINIVAN,BIDADOO ONLINE AUCTION,
23325,2002,CHEVROLET,EXPRESS,GREEN,CARGO VAN,MURPHYS AUCTION,
25893,2002,PETERBILT,330,GREEN,TRUCK - 12 YD DUMP - CLASS 7,BIDADOO ONLINE AUCTION,
94571,2009,FORD,F350,WHITE,PICKUP - DUMP BODY - 4X4,MURPHYS AUCTION,
51311,2005,TOYOTA,PRIUS,WHITE,COMPACT SEDAN - HYBRID,BIDADOO ONLINE AUCTION,
99218,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,BIDADOO ONLINE AUCTION,
99234,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,BIDADOO ONLINE AUCTION,
53878,2005,CHEVROLET,EXPRESS,GREEN,PASSENGER VAN,BIDADOO ONLINE AUCTION,
79993,2007,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR - K9,MURPHYS AUCTION,
87146,2008,CASE,590M,YELLOW,BACKHOE LOADER - 19500 LB - BREAKER  4X4,MURPHYS AUCTION,
89179,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
89190,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
79931,2007,DODGE,CHARGER,BLUE,PATROL CAR - TRAFFIC,BIDADOO ONLINE AUCTION,
51472,2005,CHEVROLET,ASTRO,WHITE,CARGO MINIVAN,BIDADOO ONLINE AUCTION,
03024,2000,CHEVROLET,G3500,WHITE,CARGO VAN - CARPENTER,BIDADOO ONLINE AUCTION,
15655,2001,LAYTON,H-500-B,GREEN,TOW PAVER,BIDADOO ONLINE AUCTION,
25892,2002,PETERBILT,330,GREEN,TRUCK - DUMP - CLASS 8,BIDADOO ONLINE AUCTION,
54537,2005,FORD,RANGER,WHITE,COMPACT PICKUP,BIDADOO ONLINE AUCTION,
89146,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
89149,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
78138,2007,TORO,4000-D,RED,MOWER - 11` ROTARY,BIDADOO ONLINE AUCTION,
97632,2009,HARLEY-DAVIDSON,FLHPI ROAD KING,WHITE,POLICE MOTORCYCLE,BIDADOO ONLINE AUCTION,
99243,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,MURPHYS AUCTION,
89155,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,MURPHYS AUCTION,
30988,2010,HARLEY-DAVIDSON,FLHPI ROAD KING,WHITE,POLICE MOTORCYCLE,BIDADOO ONLINE AUCTION,
53894,2005,CHEVROLET,EXPRESS,GREEN,PASSENGER VAN,BIDADOO ONLINE AUCTION,
43923,2004,FORD,F250,GREEN,PICKUP,MURPHYS AUCTION,
45804,2004,GMC,WT5500,WHITE,TRUCK - BOOK DELIVERY - CLASS 5,BIDADOO ONLINE AUCTION,
64637,2006,FORD,F350,WHITE,PICKUP - SERVICE BODY - 4X4,BIDADOO ONLINE AUCTION,
79975,2007,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
69892,2006,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
69904,2006,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,MURPHYS AUCTION,
25663,2002,BLAZER,TRAILER,,CREW TRAILER,MURPHYS AUCTION,
89142,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
79107,2007,DODGE,CHARGER,BLUE,PATROL CAR - TRAFFIC,BIDADOO ONLINE AUCTION,
53035,2005,CHEVROLET,EXPRESS,GREEN,PASSENGER VAN,BIDADOO ONLINE AUCTION,
31460,1995,BOBCAT,753,,SKID STEER LOADER,MURPHYS AUCTION,
43949,2004,CHEVROLET,EXPRESS,GREEN,CARGO VAN,BIDADOO ONLINE AUCTION,
78140,2007,TORO,580D,RED,MOWER - 16` ROTARY,BIDADOO ONLINE AUCTION,
65322,2006,FORD,E450,RED,MEDIC AID VAN - NEW BODY,BIDADOO ONLINE AUCTION,
79991,2007,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR ACTIVE SPARE RESERVE,BIDADOO ONLINE AUCTION,
5313,1991,SPARTAN,PUMPER,RED,FIRE PUMPER,BIDADOO ONLINE AUCTION,
43442,2004,CHEVROLET,EXPRESS,GREEN,PASSENGER VAN,BIDADOO ONLINE AUCTION,
58343,2005,JEEP,LIBERTY,WHITE,COMPACT SUV,MURPHYS AUCTION,
34570,2003,CHEVROLET,ASTRO,WHITE,PASSENGER MINIVAN,BIDADOO ONLINE AUCTION,
75684,2007,CASE,590M,YELLOW,BACKHOE LOADER - 19500 LB - BREAKER  4X4,MURPHYS AUCTION,
78079,2007,TORO,4000-D,RED,MOWER - 11` ROTARY,BIDADOO ONLINE AUCTION,
78116,2007,TORO,4000-D,RED,MOWER - 11` ROTARY,BIDADOO ONLINE AUCTION,
99229,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,BIDADOO ONLINE AUCTION,
99242,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,BIDADOO ONLINE AUCTION,
31497,2010,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR - DUI,MURPHYS AUCTION,TOTALED 2/2015
89197,2008,FORD,CROWN VICTORIA,BLUE,PATROL CAR - TRAFFIC,BIDADOO ONLINE AUCTION,
5337,1994,SIMON,94127-94,RED,FIRE AERIAL - TRACTOR DRAWN,BIDADOO ONLINE AUCTION,
89170,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,MURPHYS AUCTION,
A0622,1991,GMC,CARGO,MULTI,CARGO VAN,MURPHYS AUCTION,
80399,1998,MODEC,TRAILER,,TRAILER - DECONTAMINATION,BIDADOO ONLINE AUCTION,
59870,2005,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR - TRAFFIC TRAINING,MURPHYS AUCTION,
63765,2006,CHEVROLET,SUBURBAN K1500/K15906,RED,SUV FULLSIZE - 4X4,BIDADOO ONLINE AUCTION,
23226,2002,GMC,WT5500,WHITE,TRUCK - BOOK DELIVERY - CLASS 5,BIDADOO ONLINE AUCTION,
89147,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
87609,2008,HARLEY-DAVIDSON,FLHPI ROAD KING,WHITE,POLICE MOTORCYCLE,BIDADOO ONLINE AUCTION,
45805,2004,GMC,WT5500,WHITE,TRUCK - BOOK DELIVERY - CLASS 5,BIDADOO ONLINE AUCTION,
63765,2006,CHEVROLET,SUBURBAN K1500,RED,SUV FULLSIZE - 4X4,BIDADOO ONLINE AUCTION,
75689,2007,CASE,590M,YELLOW,BACKHOE LOADER - 19500 LB - BREAKER  4X4,MURPHYS AUCTION,
89115,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
89116,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
58030,2005,TORO,4000-D,RED,MOWER - 11` ROTARY,BIDADOO ONLINE AUCTION,
89165,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
05546,2000,FREIGHTLINER,FL60,WHITE,TRUCK - ASPHALT FLATBED - CLASS 7,BIDADOO ONLINE AUCTION,
77148,2007,CASE,590M,YELLOW,BACKHOE LOADER - 19500 LB - BREAKER  4X4,MURPHYS AUCTION,
11714,2001,TOYOTA,PRIUS,WHITE,COMPACT SEDAN - HYBRID,BIDADOO ONLINE AUCTION,
13020,2001,FORD,F250,WHITE,PICKUP,BIDADOO ONLINE AUCTION,
67200,2006,LIFT-A-LOAD,EPTW-314,BLUE,TRAILER - ELEVATING PLATFORM  11340 GVWR,BIDADOO ONLINE AUCTION,
89158,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
89159,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
43634,2004,FORD,F250,GREEN,PICKUP,BIDADOO ONLINE AUCTION,
43410,2004,FORD,E250,GREEN,CARGO VAN,BIDADOO ONLINE AUCTION,
53771,2005,CHEVROLET,SUBURBAN K1500/K15906,RED,SUV FULLSIZE - 4X4,BIDADOO ONLINE AUCTION,
73671,2007,FORD,F350,WHITE,PICKUP,MURPHYS AUCTION,
58345,2005,JEEP,LIBERTY,WHITE,COMPACT SUV,MURPHYS AUCTION,
43230,2004,FORD,E250,WHITE,CARGO VAN,BIDADOO ONLINE AUCTION,
33248,2003,FORD,F250,GREEN,PICKUP,BIDADOO ONLINE AUCTION,
79958,2007,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
33957,2003,FORD,F350,GREEN,PICKUP - DUMP BODY,BIDADOO ONLINE AUCTION,
23225,2002,GMC,WT5500,WHITE,TRUCK - BOOK DELIVERY - CLASS 5,BIDADOO ONLINE AUCTION,
79928,2007,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR - K9,BIDADOO ONLINE AUCTION,
79108,2007,DODGE,CHARGER,BLUE,PATROL CAR - TRAFFIC,BIDADOO ONLINE AUCTION,TOTALED 11/2014
05549,2000,FREIGHTLINER,FL60,WHITE,TRUCK - ASPHALT FLATBED - CLASS 7,BIDADOO ONLINE AUCTION,
78081,2007,TORO,4000-D,RED,MOWER - 11` ROTARY,BIDADOO ONLINE AUCTION,
87614,2008,HARLEY-DAVIDSON,FLHPI ROAD KING,WHITE,POLICE MOTORCYCLE,BIDADOO ONLINE AUCTION,
99220,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,BIDADOO ONLINE AUCTION,
13335,2001,CHEVROLET,EXPRESS,WHITE,CARGO VAN,BIDADOO ONLINE AUCTION,
03811,2000,FORD,F250,GREEN,PICKUP - CREW CAB,MURPHYS AUCTION,
51674,2005,TOYOTA,PRIUS,WHITE,COMPACT SEDAN - HYBRID,BIDADOO ONLINE AUCTION,
79995,2007,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR - K9,BIDADOO ONLINE AUCTION,
51892,2005,TOYOTA,PRIUS,WHITE,COMPACT SEDAN - HYBRID,BIDADOO ONLINE AUCTION,
5869,1990,GMC,6000,,PICKUP - FLATBED - CLASS 4,BIDADOO ONLINE AUCTION,
43315,2004,FORD,F250,WHITE,PICKUP - DUMP BODY - DROP IN,BIDADOO ONLINE AUCTION,
44668,2004,FORD,F250,WHITE,PICKUP - 4X4,BIDADOO ONLINE AUCTION,
53771,2005,CHEVROLET,SUBURBAN K1500,RED,SUV FULLSIZE - 4X4,BIDADOO ONLINE AUCTION,
73673,2007,FORD,F350,WHITE,PICKUP,BIDADOO ONLINE AUCTION,
51625,2005,CHEVROLET,ASTRO,WHITE,CARGO MINIVAN,BIDADOO ONLINE AUCTION,
25889,2002,PETERBILT,330,GREEN,TRUCK - DUMP - CLASS 7,BIDADOO ONLINE AUCTION,
23308,2002,CHEVROLET,ASTRO,GREEN,PASSENGER MINIVAN,BIDADOO ONLINE AUCTION,
69908,2006,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR ACTIVE SPARE RESERVE,MURPHYS AUCTION,
89125,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
78028,2007,TORO,328-D 4WD,RED,"MOWER - 72"" ROTARY",BIDADOO ONLINE AUCTION,
99222,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,BIDADOO ONLINE AUCTION,
99224,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,BIDADOO ONLINE AUCTION,
99230,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,BIDADOO ONLINE AUCTION,
